Question #,ROUGE-1 Precision (2 Doc),ROUGE-1 Recall (2 Doc),ROUGE-1 F1 (2 Doc),ROUGE-L Precision (2 Doc),ROUGE-L Recall (2 Doc),ROUGE-L F1 (2 Doc),BLEU (2 Doc),ROUGE-1 Precision (7 Doc),ROUGE-1 Recall (7 Doc),ROUGE-1 F1 (7 Doc),ROUGE-L Precision (7 Doc),ROUGE-L Recall (7 Doc),ROUGE-L F1 (7 Doc),BLEU (7 Doc),ROUGE-1 Precision (12 Doc),ROUGE-1 Recall (12 Doc),ROUGE-1 F1 (12 Doc),ROUGE-L Precision (12 Doc),ROUGE-L Recall (12 Doc),ROUGE-L F1 (12 Doc),BLEU (12 Doc)
1,1,0.75,0.857142857,0.833333333,0.625,0.714285714,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0,0.666666667,0.8,0.727272727,0.666666667,0.8,0.727272727,0
3,1,1,1,1,1,1,,0,0,0,0,0,0,,1,1,1,1,1,1,
4,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
5,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
6,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
7,1,0.375,0.545454545,1,0.375,0.545454545,,0.5,1,0.666666667,0.5,1,0.666666667,0.30935,0.5,1,0.666666667,0.5,1,0.666666667,0.30935
8,0.076923077,1,0.142857143,0.076923077,1,0.142857143,,0.021276596,1,0.041666667,0.021276596,1,0.041666667,,0.03125,1,0.060606061,0.03125,1,0.060606061,
9,1,0.636363636,0.777777778,1,0.636363636,0.777777778,0.57067,1,0.636363636,0.777777778,1,0.636363636,0.777777778,0.57067,1,1,1,1,1,1,1
10,0.125,0.333333333,0.181818182,0.083333333,0.222222222,0.121212121,0,0.086956522,0.222222222,0.125,0.086956522,0.222222222,0.125,0,0.6,0.666666667,0.631578947,0.6,0.666666667,0.631578947,0.31762
11,0.142857143,1,0.25,0.142857143,1,0.25,,0.142857143,1,0.25,0.142857143,1,0.25,,0.142857143,1,0.25,0.142857143,1,0.25,
12,0.058823529,1,0.111111111,0.058823529,1,0.111111111,,0,0,0,0,0,0,,1,1,1,1,1,1,
13,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
14,0.333333333,0.5,0.4,0.333333333,0.5,0.4,,1,1,1,1,1,1,,0.4,1,0.571428571,0.4,1,0.571428571,
15,0.25,0.4,0.307692308,0.25,0.4,0.307692308,0,0.090909091,0.6,0.157894737,0.090909091,0.6,0.157894737,0,0.2,0.6,0.3,0.2,0.6,0.3,0
16,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.375,0.6,0.461538462,0.375,0.6,0.461538462,0
17,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
18,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
19,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
20,0.333333333,1,0.5,0.333333333,1,0.5,,0.333333333,1,0.5,0.333333333,1,0.5,,0.333333333,1,0.5,0.333333333,1,0.5,
21,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
22,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,,0.4,1,0.571428571,0.4,1,0.571428571,,1,1,1,1,1,1,
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,
27,1,0.454545455,0.625,1,0.454545455,0.625,0,1,0.545454545,0.705882353,1,0.545454545,0.705882353,0,1,0.545454545,0.705882353,1,0.545454545,0.705882353,0
28,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
29,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
30,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
31,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
32,0,0,0,0,0,0,,0,0,0,0,0,0,,0.090909091,0.333333333,0.142857143,0.090909091,0.333333333,0.142857143,
33,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
34,1,0.111111111,0.2,1,0.111111111,0.2,,1,0.111111111,0.2,1,0.111111111,0.2,,1,0.111111111,0.2,1,0.111111111,0.2,
35,0.090909091,1,0.166666667,0.090909091,1,0.166666667,,0,0,0,0,0,0,,0.090909091,1,0.166666667,0.090909091,1,0.166666667,
36,0.166666667,0.333333333,0.222222222,0.166666667,0.333333333,0.222222222,,0.166666667,0.333333333,0.222222222,0.166666667,0.333333333,0.222222222,,0.166666667,0.333333333,0.222222222,0.166666667,0.333333333,0.222222222,
37,0.5,1,0.666666667,0.5,1,0.666666667,0.24602,0.5,1,0.666666667,0.5,1,0.666666667,0.24602,0.5,1,0.666666667,0.5,1,0.666666667,0.24602
38,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
39,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
40,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,
41,1,1,1,1,1,1,,1,1,1,1,1,1,,0.166666667,1,0.285714286,0.166666667,1,0.285714286,
42,0.5,0.166666667,0.25,0.5,0.166666667,0.25,,0.5,0.166666667,0.25,0.5,0.166666667,0.25,,0.5,0.166666667,0.25,0.5,0.166666667,0.25,
43,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
44,0,0,0,0,0,0,,1,1,1,1,1,1,,1,1,1,1,1,1,
45,0.222222222,0.333333333,0.266666667,0.222222222,0.333333333,0.266666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
47,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
48,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
49,1,1,1,1,1,1,,0,0,0,0,0,0,,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
52,0.4,0.4,0.4,0.4,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,0.4,0,0.285714286,0.4,0.333333333,0.285714286,0.4,0.333333333,0
53,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
