Question,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1,BLEU
Which CS professors are on leave at any point in 2023?,0.47058823529411764,1.0,0.6399999999999999,0.47058823529411764,1.0,0.6399999999999999,0.32465
What's the full name for Computer Science 361?,0.36363636363636365,0.8,0.5000000000000001,0.36363636363636365,0.8,0.5000000000000001,0.0
What is the minimum number of electives I need for the CS major?,0.0,0.0,0.0,0.0,0.0,0.0,
What's the minimum grade I need in MATH 200 to satisfy the Discrete requirement?,0.05555555555555555,1.0,0.10526315789473684,0.05555555555555555,1.0,0.10526315789473684,
What's the minimum number of Computer Science colloquia I need to attend to major in CS?,0.0,0.0,0.0,0.0,0.0,0.0,
How many computer labs does the Computer Science Department have?,0.29310344827586204,1.0,0.4533333333333333,0.29310344827586204,1.0,0.4533333333333333,0.08384
When do computer science honors students present their research?,0.36363636363636365,1.0,0.5333333333333333,0.36363636363636365,1.0,0.5333333333333333,0.14613
Can I study abroad if I want to major in computer science?,0.010638297872340425,1.0,0.021052631578947368,0.010638297872340425,1.0,0.021052631578947368,
How many CS courses can I receive credit for during study away?,0.18032786885245902,1.0,0.3055555555555556,0.18032786885245902,1.0,0.3055555555555556,0.01163
Can I take CS 136 as my first computer science course if I got a 2 on my AP Computer Science exam?,0.058823529411764705,0.5555555555555556,0.10638297872340426,0.058823529411764705,0.5555555555555556,0.10638297872340426,7e-05
"Do CS courses satisfy division I, division II, or division III requirements?",0.09523809523809523,1.0,0.17391304347826084,0.09523809523809523,1.0,0.17391304347826084,
"If I take a CS course as a pass/fail class, can I use it as one of my required courses for the major?",0.022727272727272728,1.0,0.044444444444444446,0.022727272727272728,1.0,0.044444444444444446,
Which class will teach me about functional programming?,0.11764705882352941,1.0,0.21052631578947367,0.11764705882352941,1.0,0.21052631578947367,
Does CS 331 have a final exam or a final project?,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,
Which CS courses are cross listed as courses other than CSCI?,0.05,0.2,0.08000000000000002,0.05,0.2,0.08000000000000002,0.0
Which courses is Rohit teaching in 2023-24?,0.07317073170731707,0.6,0.13043478260869565,0.07317073170731707,0.6,0.13043478260869565,0.0
Can I take Intro To Computer Security as a fifth course?,0.041666666666666664,1.0,0.07999999999999999,0.041666666666666664,1.0,0.07999999999999999,
How many sections of CSCI 256 will be offered in the spring of 2024?,0.0,0.0,0.0,0.0,0.0,0.0,
Who is teaching CSCI 345 in the spring of 2024?,0.1875,1.0,0.3157894736842105,0.1875,1.0,0.3157894736842105,
"Is CSCI 345 offered in the fall, spring, or both in 2024?",0.041666666666666664,1.0,0.07999999999999999,0.041666666666666664,1.0,0.07999999999999999,
Are there labs for CS 136?,0.0,0.0,0.0,0.0,0.0,0.0,
Are there labs for CS 378?,0.07142857142857142,1.0,0.13333333333333333,0.07142857142857142,1.0,0.13333333333333333,
What are the prereqs for CS 379?,0.625,1.0,0.7692307692307693,0.625,1.0,0.7692307692307693,0.51342
