Question #,ROUGE-1 Precision (2 Doc),ROUGE-1 Recall (2 Doc),ROUGE-1 F1 (2 Doc),ROUGE-L Precision (2 Doc),ROUGE-L Recall (2 Doc),ROUGE-L F1 (2 Doc),BLEU (2 Doc),ROUGE-1 Precision (7 Doc),ROUGE-1 Recall (7 Doc),ROUGE-1 F1 (7 Doc),ROUGE-L Precision (7 Doc),ROUGE-L Recall (7 Doc),ROUGE-L F1 (7 Doc),BLEU (7 Doc),ROUGE-1 Precision (12 Doc),ROUGE-1 Recall (12 Doc),ROUGE-1 F1 (12 Doc),ROUGE-L Precision (12 Doc),ROUGE-L Recall (12 Doc),ROUGE-L F1 (12 Doc),BLEU (12 Doc)
1,1.0,0.75,0.8571428571428571,0.8333333333333334,0.625,0.7142857142857143,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.0,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.0,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.0
3,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,
5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,
6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
7,1.0,0.375,0.5454545454545454,1.0,0.375,0.5454545454545454,,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.30935,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.30935
8,0.07692307692307693,1.0,0.14285714285714288,0.07692307692307693,1.0,0.14285714285714288,,0.02127659574468085,1.0,0.04166666666666667,0.02127659574468085,1.0,0.04166666666666667,,0.03125,1.0,0.06060606060606061,0.03125,1.0,0.06060606060606061,
9,1.0,0.6363636363636364,0.7777777777777778,1.0,0.6363636363636364,0.7777777777777778,0.57067,1.0,0.6363636363636364,0.7777777777777778,1.0,0.6363636363636364,0.7777777777777778,0.57067,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.125,0.3333333333333333,0.18181818181818182,0.08333333333333333,0.2222222222222222,0.12121212121212122,0.0,0.08695652173913043,0.2222222222222222,0.125,0.08695652173913043,0.2222222222222222,0.125,0.0,0.6,0.6666666666666666,0.631578947368421,0.6,0.6666666666666666,0.631578947368421,0.31762
11,0.14285714285714285,1.0,0.25,0.14285714285714285,1.0,0.25,,0.14285714285714285,1.0,0.25,0.14285714285714285,1.0,0.25,,0.14285714285714285,1.0,0.25,0.14285714285714285,1.0,0.25,
12,0.058823529411764705,1.0,0.1111111111111111,0.058823529411764705,1.0,0.1111111111111111,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,
13,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,
14,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,,1.0,1.0,1.0,1.0,1.0,1.0,,0.4,1.0,0.5714285714285715,0.4,1.0,0.5714285714285715,
15,0.25,0.4,0.3076923076923077,0.25,0.4,0.3076923076923077,0.0,0.09090909090909091,0.6,0.15789473684210525,0.09090909090909091,0.6,0.15789473684210525,0.0,0.2,0.6,0.3,0.2,0.6,0.3,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.6,0.4615384615384615,0.375,0.6,0.4615384615384615,0.0
